Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Oakland Athletics,0,Baltimore Orioles,13,8,April 11 2019,5
Toronto Blue Jays,1,Boston Red Sox,13,6,April 11 2019,7
Pittsburgh Pirates,1,Chicago Cubs,2,0,April 11 2019,2
Miami Marlins,1,Cincinnati Reds,5,0,April 11 2019,5
Cleveland Indians,0,Detroit Tigers,4,4,April 11 2019,0
Seattle Mariners,0,Kansas City Royals,13,7,April 11 2019,6
Colorado Rockies,1,San Francisco Giants,1,0,April 11 2019,1
Los Angeles Dodgers,1,St. Louis Cardinals,18,7,April 11 2019,11
San Diego Padres,0,Arizona D'Backs,3,2,April 12 2019,1
New York Mets,0,Atlanta Braves,8,6,April 12 2019,2
Baltimore Orioles,1,Boston Red Sox,10,4,April 12 2019,6
Los Angeles Angels,1,Chicago Cubs,6,1,April 12 2019,5
Cleveland Indians,1,Kansas City Royals,9,1,April 12 2019,8
Milwaukee Brewers,0,Los Angeles Dodgers,13,8,April 12 2019,5
Philadelphia Phillies,0,Miami Marlins,10,9,April 12 2019,1
Chicago White Sox,0,New York Yankees,15,9,April 12 2019,6
Houston Astros,0,Seattle Mariners,16,10,April 12 2019,6
Colorado Rockies,1,San Francisco Giants,5,2,April 12 2019,3
Oakland Athletics,0,Texas Rangers,14,8,April 12 2019,6
Tampa Bay Rays,0,Toronto Blue Jays,18,11,April 12 2019,7
Pittsburgh Pirates,0,Washington Nationals,9,6,April 12 2019,3
San Diego Padres,0,Arizona D'Backs,9,5,April 13 2019,4
New York Mets,1,Atlanta Braves,18,7,April 13 2019,11
Baltimore Orioles,0,Boston Red Sox,14,9,April 13 2019,5
Los Angeles Angels,0,Chicago Cubs,11,6,April 13 2019,5
St. Louis Cardinals,1,Cincinnati Reds,7,2,April 13 2019,5
Cleveland Indians,1,Kansas City Royals,3,0,April 13 2019,3
Milwaukee Brewers,0,Los Angeles Dodgers,5,4,April 13 2019,1
Philadelphia Phillies,1,Miami Marlins,13,3,April 13 2019,10
Detroit Tigers,1,Minnesota Twins,7,3,April 13 2019,4
Chicago White Sox,1,New York Yankees,4,0,April 13 2019,4
Houston Astros,0,Seattle Mariners,4,3,April 13 2019,1
Colorado Rockies,1,San Francisco Giants,7,2,April 13 2019,5
Tampa Bay Rays,1,Toronto Blue Jays,4,1,April 13 2019,3
Pittsburgh Pirates,1,Washington Nationals,5,2,April 13 2019,3
San Diego Padres,1,Arizona D'Backs,12,4,April 14 2019,8
New York Mets,1,Atlanta Braves,10,3,April 14 2019,7
Baltimore Orioles,1,Boston Red Sox,4,0,April 14 2019,4
St. Louis Cardinals,0,Cincinnati Reds,14,9,April 14 2019,5
Cleveland Indians,1,Kansas City Royals,17,8,April 14 2019,9
Milwaukee Brewers,1,Los Angeles Dodgers,8,1,April 14 2019,7
Philadelphia Phillies,0,Miami Marlins,4,3,April 14 2019,1
Detroit Tigers,1,Minnesota Twins,10,4,April 14 2019,6
Chicago White Sox,0,New York Yankees,7,5,April 14 2019,2
Houston Astros,0,Seattle Mariners,5,3,April 14 2019,2
Colorado Rockies,0,San Francisco Giants,4,4,April 14 2019,0
Oakland Athletics,1,Texas Rangers,15,7,April 14 2019,8
Tampa Bay Rays,0,Toronto Blue Jays,12,8,April 14 2019,4
Pittsburgh Pirates,0,Washington Nationals,7,4,April 14 2019,3
Baltimore Orioles,0,Boston Red Sox,9,8,April 15 2019,1
Kansas City Royals,1,Chicago White Sox,9,4,April 15 2019,5
Cincinnati Reds,1,Los Angeles Dodgers,7,3,April 15 2019,4
Chicago Cubs,0,Miami Marlins,9,7,April 15 2019,2
St. Louis Cardinals,1,Milwaukee Brewers,17,7,April 15 2019,10
Toronto Blue Jays,0,Minnesota Twins,8,5,April 15 2019,3
New York Mets,0,Philadelphia Phillies,13,7,April 15 2019,6
Colorado Rockies,0,San Diego Padres,7,5,April 15 2019,2
Cleveland Indians,0,Seattle Mariners,10,6,April 15 2019,4
Los Angeles Angels,1,Texas Rangers,19,7,April 15 2019,12
Arizona D'Backs,0,Atlanta Braves,15,9,April 16 2019,6
Kansas City Royals,1,Chicago White Sox,6,1,April 16 2019,5
Pittsburgh Pirates,0,Detroit Tigers,8,5,April 16 2019,3
Cincinnati Reds,1,Los Angeles Dodgers,7,1,April 16 2019,6
Chicago Cubs,0,Miami Marlins,4,4,April 16 2019,0
St. Louis Cardinals,1,Milwaukee Brewers,12,4,April 16 2019,8
Toronto Blue Jays,0,Minnesota Twins,11,6,April 16 2019,5
Boston Red Sox,1,New York Yankees,8,0,April 16 2019,8
Houston Astros,0,Oakland Athletics,10,9,April 16 2019,1
New York Mets,1,Philadelphia Phillies,17,3,April 16 2019,14
Colorado Rockies,0,San Diego Padres,10,8,April 16 2019,2
Cleveland Indians,0,Seattle Mariners,6,4,April 16 2019,2
Baltimore Orioles,1,Tampa Bay Rays,6,2,April 16 2019,4
Los Angeles Angels,1,Texas Rangers,5,0,April 16 2019,5
San Francisco Giants,0,Washington Nationals,10,7,April 16 2019,3
Arizona D'Backs,0,Atlanta Braves,5,3,April 17 2019,2
Kansas City Royals,0,Chicago White Sox,7,4,April 17 2019,3
Pittsburgh Pirates,0,Detroit Tigers,5,3,April 17 2019,2
Cincinnati Reds,1,Los Angeles Dodgers,5,2,April 17 2019,3
Chicago Cubs,0,Miami Marlins,6,6,April 17 2019,0
St. Louis Cardinals,0,Milwaukee Brewers,9,6,April 17 2019,3
Toronto Blue Jays,1,Minnesota Twins,5,1,April 17 2019,4
