2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,gamesPlayed,team
159,270,.589,95,305,.530,.311,150,35,.184,12.8,.512,252,82.1,104.7,254,575,.442,151,124,.821,.263,2,2.43,.216,15.2,.524,61,20.5,107.2,96.8,148,3,727,4,-0.66,1.77,52,115,313,5,7,Houston Rockets
175,321,.545,40,122,.275,.328,106,21,.182,13.3,.550,159,75.0,113.5,215,443,.485,132,100,.758,.298,3,-1.60,.226,12.9,.530,55,25.3,111.9,101.9,104,3,570,2,2.15,0.55,43,74,214,2,5,Indiana Pacers
135,285,.474,58,154,.351,.377,100,20,.201,14.7,.452,185,78.1,95.1,193,439,.440,122,87,.713,.278,1,13.80,.198,12.6,.506,67,28.2,109.3,97.1,105,1,531,4,0.78,14.58,46,71,252,4,5,Los Angeles Clippers
197,383,.514,40,144,.273,.278,134,31,.166,14.8,.512,218,77.6,103.0,237,527,.450,136,97,.713,.258,4,-7.00,.184,16.4,.488,55,19.9,96.4,103.9,138,4,611,2,2.76,-4.24,51,115,273,2,6,Los Angeles Lakers
146,294,.497,61,173,.370,.353,113,28,.243,15.1,.461,202,75.1,99.9,207,467,.443,168,130,.774,.360,1,6.67,.278,13.3,.509,45,18.4,107.0,94.2,140,2,605,4,-0.46,6.21,46,83,247,5,6,Memphis Grizzlies
147,275,.535,52,158,.365,.329,108,32,.229,13.5,.518,165,77.1,107.7,199,433,.460,83,65,.783,.192,3,-3.00,.150,13.6,.520,37,17.6,104.6,98.5,106,3,515,2,0.72,-2.28,36,74,202,2,5,Miami Heat
148,275,.538,45,125,.313,.360,110,20,.243,14.3,.511,160,76.6,106.7,193,400,.483,102,79,.775,.255,2,-1.20,.198,14.4,.539,28,13.9,105.5,96.7,109,3,510,2,3.39,2.19,37,75,188,3,5,Milwaukee Bucks
186,372,.500,51,137,.269,.372,134,22,.156,13.4,.575,175,74.8,116.9,237,509,.466,150,116,.773,.295,3,-7.33,.228,13.7,.516,64,25.3,109.4,97.7,104,4,641,2,3.24,-4.10,42,91,239,3,6,Minnesota Timberwolves
175,328,.534,68,185,.361,.368,139,35,.219,14.1,.518,218,77.9,107.7,243,513,.474,143,106,.741,.279,3,1.17,.207,14.7,.540,60,22.7,108.9,101.0,140,3,660,3,1.85,3.01,44,99,278,3,6,New Orleans Pelicans
124,250,.496,25,93,.271,.269,78,14,.203,14.6,.523,125,77.2,107.5,149,343,.434,93,64,.688,.271,3,-6.25,.187,14.7,.471,53,30.3,101.0,95.8,80,3,387,1,3.41,-2.84,29,66,178,1,4,New York Knicks
178,336,.530,64,191,.362,.335,140,42,.233,17.6,.474,183,72.0,99.0,242,527,.459,122,88,.721,.231,3,9.50,.167,13.9,.520,68,26.6,108.8,97.4,133,1,636,5,-3.79,5.71,69,94,251,3,6,Oklahoma City Thunder
155,301,.515,62,135,.310,.459,122,31,.239,13.3,.457,186,73.2,103.4,217,436,.498,118,94,.797,.271,1,10.80,.216,13.9,.569,44,21.0,113.8,103.7,120,1,590,4,-1.16,9.64,41,79,230,4,5,Orlando Magic
161,341,.472,70,186,.353,.376,142,22,.264,13.9,.514,206,78.3,107.9,231,527,.438,119,82,.689,.226,4,-6.17,.156,15.3,.505,64,23.1,101.8,100.5,148,4,614,2,2.03,-4.14,53,105,270,2,6,Philadelphia 76ers
169,357,.473,52,155,.303,.335,105,37,.239,13.6,.532,207,77.0,111.9,221,512,.432,160,121,.756,.313,4,-14.67,.236,15.9,.482,58,20.6,97.9,104.7,146,5,615,1,4.49,-10.18,51,110,265,2,6,Phoenix Suns
163,377,.432,69,156,.293,.442,122,37,.263,13.5,.473,225,80.9,100.3,232,533,.435,163,135,.828,.306,2,13.17,.253,12.6,.500,85,31.3,113.8,97.9,142,1,668,5,0.00,13.16,43,87,310,4,6,Portland Trail Blazers
149,329,.453,42,111,.252,.378,98,17,.232,14.8,.525,154,74.4,108.9,191,440,.434,90,69,.767,.205,4,-5.40,.157,12.6,.482,55,23.7,103.2,95.5,101,3,493,2,-4.16,-9.56,39,69,209,1,5,Sacramento Kings
163,343,.475,28,94,.215,.298,103,37,.163,14.5,.511,181,84.2,100.9,191,437,.437,115,89,.774,.263,1,2.40,.204,13.3,.469,69,29.2,103.4,96.5,89,2,499,3,-0.14,2.26,34,75,250,4,5,San Antonio Spurs
147,266,.553,51,173,.394,.295,123,28,.216,17.1,.496,164,76.3,99.6,198,439,.451,128,108,.844,.292,2,10.20,.246,13.5,.509,52,23.4,109.7,101.2,118,1,555,4,-2.08,8.12,48,77,216,3,5,Toronto Raptors
166,311,.534,53,159,.338,.333,131,39,.159,15.6,.488,200,75.2,99.1,219,470,.466,95,75,.789,.202,3,0.67,.160,18.7,.522,49,20.3,99.8,94.7,122,3,567,3,-0.85,-0.18,54,118,249,3,6,Utah Jazz
159,320,.497,42,128,.286,.328,120,31,.174,16.8,.529,161,75.9,105.7,201,448,.449,146,116,.795,.326,2,1.60,.259,12.3,.496,52,22.4,107.2,102.3,102,2,560,3,-0.42,1.18,51,72,213,3,5,Washington Wizards
