Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Fri, Nov 18, 2016,Los Angeles Lakers,107,10:30 pm,San Antonio Spurs,116
Fri, Nov 18, 2016,New Orleans Pelicans,113,8:00 pm,Portland Trail Blazers,101
Fri, Nov 18, 2016,Oklahoma City Thunder,124,8:00 pm,Brooklyn Nets,105
Fri, Nov 18, 2016,Sacramento Kings,115,10:30 pm,Los Angeles Clippers,121
Sat, Nov 19, 2016,Detroit Pistons,92,7:00 pm,Boston Celtics,94
Sat, Nov 19, 2016,Houston Rockets,111,5:00 pm,Utah Jazz,102
Sat, Nov 19, 2016,Los Angeles Clippers,102,10:30 pm,Chicago Bulls,95
Sat, Nov 19, 2016,Memphis Grizzlies,93,8:00 pm,Minnesota Timberwolves,71
Sat, Nov 19, 2016,Milwaukee Bucks,121,8:30 pm,Golden State Warriors,124
Sat, Nov 19, 2016,New Orleans Pelicans,121,7:00 pm,Charlotte Hornets,116
Sat, Nov 19, 2016,Orlando Magic,95,7:00 pm,Dallas Mavericks,87
Sat, Nov 19, 2016,Philadelphia 76ers,120,7:30 pm,Phoenix Suns,105
Sat, Nov 19, 2016,Washington Wizards,111,7:00 pm,Miami Heat,114
Sun, Nov 20, 2016,Brooklyn Nets,109,3:30 pm,Portland Trail Blazers,129
Sun, Nov 20, 2016,Denver Nuggets,105,9:00 pm,Utah Jazz,91
Sun, Nov 20, 2016,Los Angeles Lakers,110,9:30 pm,Chicago Bulls,118
Sun, Nov 20, 2016,New York Knicks,104,12:00 pm,Atlanta Hawks,94
Sun, Nov 20, 2016,Oklahoma City Thunder,111,7:00 pm,Indiana Pacers,115
Sun, Nov 20, 2016,Sacramento Kings,102,9:00 pm,Toronto Raptors,99
Mon, Nov 21, 2016,Charlotte Hornets,90,7:00 pm,Memphis Grizzlies,105
Mon, Nov 21, 2016,Detroit Pistons,96,7:30 pm,Houston Rockets,99
Mon, Nov 21, 2016,Indiana Pacers,83,7:00 pm,Golden State Warriors,120
Mon, Nov 21, 2016,Los Angeles Clippers,123,10:30 pm,Toronto Raptors,115
Mon, Nov 21, 2016,Milwaukee Bucks,93,8:00 pm,Orlando Magic,89
Mon, Nov 21, 2016,Minnesota Timberwolves,93,8:00 pm,Boston Celtics,99
Mon, Nov 21, 2016,Philadelphia 76ers,101,7:00 pm,Miami Heat,94
Mon, Nov 21, 2016,San Antonio Spurs,96,8:30 pm,Dallas Mavericks,91
Mon, Nov 21, 2016,Washington Wizards,106,7:00 pm,Phoenix Suns,101
Tue, Nov 22, 2016,Atlanta Hawks,94,7:30 pm,New Orleans Pelicans,112
Tue, Nov 22, 2016,Denver Nuggets,110,9:00 pm,Chicago Bulls,107
Tue, Nov 22, 2016,Los Angeles Lakers,111,10:30 pm,Oklahoma City Thunder,109
Tue, Nov 22, 2016,New York Knicks,107,7:30 pm,Portland Trail Blazers,103
Wed, Nov 23, 2016,Brooklyn Nets,92,7:30 pm,Boston Celtics,111
Wed, Nov 23, 2016,Charlotte Hornets,114,7:00 pm,San Antonio Spurs,119
Wed, Nov 23, 2016,Cleveland Cavaliers,137,7:00 pm,Portland Trail Blazers,125
Wed, Nov 23, 2016,Dallas Mavericks,104,8:30 pm,Los Angeles Clippers,124
Wed, Nov 23, 2016,Detroit Pistons,107,7:30 pm,Miami Heat,84
Wed, Nov 23, 2016,Golden State Warriors,149,10:30 pm,Los Angeles Lakers,106
Wed, Nov 23, 2016,Houston Rockets,102,8:00 pm,Toronto Raptors,115
Wed, Nov 23, 2016,Indiana Pacers,85,7:00 pm,Atlanta Hawks,96
Wed, Nov 23, 2016,New Orleans Pelicans,117,9:30 pm,Minnesota Timberwolves,96
Wed, Nov 23, 2016,Orlando Magic,87,7:00 pm,Phoenix Suns,92
Wed, Nov 23, 2016,Philadelphia 76ers,99,7:00 pm,Memphis Grizzlies,104
Wed, Nov 23, 2016,Sacramento Kings,116,10:30 pm,Oklahoma City Thunder,101
Wed, Nov 23, 2016,Utah Jazz,108,9:00 pm,Denver Nuggets,83
Fri, Nov 25, 2016,Boston Celtics,103,1:00 pm,San Antonio Spurs,109
Fri, Nov 25, 2016,Cleveland Cavaliers,128,7:30 pm,Dallas Mavericks,90
Fri, Nov 25, 2016,Denver Nuggets,129,9:00 pm,Oklahoma City Thunder,132
Fri, Nov 25, 2016,Detroit Pistons,108,7:30 pm,Los Angeles Clippers,97
Fri, Nov 25, 2016,Indiana Pacers,118,8:00 pm,Brooklyn Nets,97
Fri, Nov 25, 2016,Los Angeles Lakers,85,10:30 pm,Golden State Warriors,109
Fri, Nov 25, 2016,Memphis Grizzlies,81,8:00 pm,Miami Heat,90
Fri, Nov 25, 2016,Milwaukee Bucks,99,8:00 pm,Toronto Raptors,105
Fri, Nov 25, 2016,New York Knicks,113,7:30 pm,Charlotte Hornets,111
Fri, Nov 25, 2016,Orlando Magic,91,7:00 pm,Washington Wizards,94
Fri, Nov 25, 2016,Philadelphia 76ers,89,7:30 pm,Chicago Bulls,105
Fri, Nov 25, 2016,Phoenix Suns,85,9:00 pm,Minnesota Timberwolves,98
Fri, Nov 25, 2016,Portland Trail Blazers,119,10:00 pm,New Orleans Pelicans,104
Fri, Nov 25, 2016,Sacramento Kings,104,10:30 pm,Houston Rockets,117
Fri, Nov 25, 2016,Utah Jazz,95,8:00 pm,Atlanta Hawks,68
Sat, Nov 26, 2016,Charlotte Hornets,107,7:00 pm,New York Knicks,102
Sat, Nov 26, 2016,Golden State Warriors,115,10:30 pm,Minnesota Timberwolves,102
Sat, Nov 26, 2016,Miami Heat,107,8:00 pm,Memphis Grizzlies,110
Sat, Nov 26, 2016,Oklahoma City Thunder,106,8:00 pm,Detroit Pistons,88
Sat, Nov 26, 2016,Washington Wizards,100,7:00 pm,San Antonio Spurs,112
Sun, Nov 27, 2016,Brooklyn Nets,105,6:00 pm,Sacramento Kings,122
Sun, Nov 27, 2016,Dallas Mavericks,91,7:00 pm,New Orleans Pelicans,81
Sun, Nov 27, 2016,Indiana Pacers,91,6:00 pm,Los Angeles Clippers,70
Sun, Nov 27, 2016,Los Angeles Lakers,109,9:30 pm,Atlanta Hawks,94
Sun, Nov 27, 2016,Orlando Magic,96,6:00 pm,Milwaukee Bucks,104
Sun, Nov 27, 2016,Philadelphia 76ers,108,1:00 pm,Cleveland Cavaliers,112
Sun, Nov 27, 2016,Phoenix Suns,114,3:30 pm,Denver Nuggets,120
Sun, Nov 27, 2016,Portland Trail Blazers,114,9:00 pm,Houston Rockets,130
Mon, Nov 28, 2016,Golden State Warriors,105,10:30 pm,Atlanta Hawks,100
Mon, Nov 28, 2016,Memphis Grizzlies,85,8:00 pm,Charlotte Hornets,104
Mon, Nov 28, 2016,Miami Heat,104,7:30 pm,Boston Celtics,112
Mon, Nov 28, 2016,Minnesota Timberwolves,103,8:00 pm,Utah Jazz,112
Mon, Nov 28, 2016,New York Knicks,103,7:30 pm,Oklahoma City Thunder,112
Mon, Nov 28, 2016,Toronto Raptors,122,7:30 pm,Philadelphia 76ers,95
Mon, Nov 28, 2016,Washington Wizards,101,7:00 pm,Sacramento Kings,95
Tue, Nov 29, 2016,Brooklyn Nets,127,7:30 pm,Los Angeles Clippers,122
Tue, Nov 29, 2016,Charlotte Hornets,89,7:00 pm,Detroit Pistons,112
Tue, Nov 29, 2016,Milwaukee Bucks,118,8:00 pm,Cleveland Cavaliers,101
Tue, Nov 29, 2016,New Orleans Pelicans,105,8:00 pm,Los Angeles Lakers,88
Tue, Nov 29, 2016,San Antonio Spurs,83,8:30 pm,Orlando Magic,95
Tue, Nov 29, 2016,Utah Jazz,120,9:00 pm,Houston Rockets,101
Wed, Nov 30, 2016,Boston Celtics,114,7:30 pm,Detroit Pistons,121
Wed, Nov 30, 2016,Chicago Bulls,90,8:00 pm,Los Angeles Lakers,96
Wed, Nov 30, 2016,Dallas Mavericks,87,8:30 pm,San Antonio Spurs,94
Wed, Nov 30, 2016,Denver Nuggets,98,9:00 pm,Miami Heat,106
Wed, Nov 30, 2016,Minnesota Timberwolves,104,8:00 pm,New York Knicks,106
Wed, Nov 30, 2016,Oklahoma City Thunder,126,8:00 pm,Washington Wizards,115
Wed, Nov 30, 2016,Phoenix Suns,109,9:00 pm,Atlanta Hawks,107
Wed, Nov 30, 2016,Portland Trail Blazers,131,10:00 pm,Indiana Pacers,109
Wed, Nov 30, 2016,Toronto Raptors,120,7:30 pm,Memphis Grizzlies,105
Tue, Oct 27, 2015,Atlanta Hawks,94,8:00 pm,Detroit Pistons,106
Tue, Oct 27, 2015,Chicago Bulls,97,8:00 pm,Cleveland Cavaliers,95
Tue, Oct 27, 2015,Golden State Warriors,111,10:30 pm,New Orleans Pelicans,95
Wed, Oct 28, 2015,Boston Celtics,112,7:30 pm,Philadelphia 76ers,95
Wed, Oct 28, 2015,Brooklyn Nets,100,7:30 pm,Chicago Bulls,115
Wed, Oct 28, 2015,Detroit Pistons,92,7:30 pm,Utah Jazz,87
Wed, Oct 28, 2015,Houston Rockets,85,8:00 pm,Denver Nuggets,105
Wed, Oct 28, 2015,Los Angeles Lakers,111,10:30 pm,Minnesota Timberwolves,112
Wed, Oct 28, 2015,Memphis Grizzlies,76,8:00 pm,Cleveland Cavaliers,106
Wed, Oct 28, 2015,Miami Heat,104,7:30 pm,Charlotte Hornets,94
Wed, Oct 28, 2015,Milwaukee Bucks,97,8:00 pm,New York Knicks,122
Wed, Oct 28, 2015,Oklahoma City Thunder,112,8:00 pm,San Antonio Spurs,106
Wed, Oct 28, 2015,Orlando Magic,87,7:00 pm,Washington Wizards,88
Wed, Oct 28, 2015,Phoenix Suns,95,10:00 pm,Dallas Mavericks,111
Wed, Oct 28, 2015,Portland Trail Blazers,112,10:00 pm,New Orleans Pelicans,94
Wed, Oct 28, 2015,Sacramento Kings,104,10:00 pm,Los Angeles Clippers,111
Wed, Oct 28, 2015,Toronto Raptors,106,7:30 pm,Indiana Pacers,99
Thu, Oct 29, 2015,Indiana Pacers,103,7:00 pm,Memphis Grizzlies,112
Thu, Oct 29, 2015,Los Angeles Clippers,104,10:30 pm,Dallas Mavericks,88
Thu, Oct 29, 2015,New York Knicks,101,8:00 pm,Atlanta Hawks,112
Fri, Oct 30, 2015,Atlanta Hawks,97,8:00 pm,Charlotte Hornets,94
Fri, Oct 30, 2015,Boston Celtics,103,7:30 pm,Toronto Raptors,113
Fri, Oct 30, 2015,Cleveland Cavaliers,102,7:00 pm,Miami Heat,92
Fri, Oct 30, 2015,Denver Nuggets,78,9:00 pm,Minnesota Timberwolves,95
Fri, Oct 30, 2015,Detroit Pistons,98,7:30 pm,Chicago Bulls,94
Fri, Oct 30, 2015,Houston Rockets,92,9:30 pm,Golden State Warriors,112
