Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
9,29,22,9.3,39,90,16,15,7,15.6,12,14.9,34,Dec 28 2018,Phoenix Suns,7,20,22,6.6,51,95,13,9,11,28.9,12,13.7,49,["Alex Abrines"|"Deonte Burton"|"Donte Grantham"|"Andre Roberson"|"Ryan Anderson"|"Jawun Evans"|"George King"],["Brandon Adair"|"Ron Garretson"|"Rodney Mott"],Oklahoma City Thunder,102,118
9,30,22,10.5,34,85,18,15,8,17.0,7,11.4,40,Dec 28 2018,Washington Wizards,8,22,20,10.9,37,79,25,19,7,17.9,9,10.0,46,["Rawle Alkins"|"Bobby Portis"|"Brandon Sampson"|"Denzel Valentine"|"Dwight Howard"|"Markieff Morris"|"Otto Porter"|"John Wall"],["Nick Buchert"|"James Capers"|"Ashley Moyer-Gleich"],Chicago Bulls,92,101
10,37,27,6.5,43,98,25,15,17,33.3,7,10.7,53,Dec 29 2018,Atlanta Hawks,5,23,27,3.3,40,85,29,23,10,21.7,9,10.9,44,["John Henson"|"Kevin Love"|"David Nwaba"|"J.R. Smith"|"Tristan Thompson"|"Jaylen Adams"|"Dewayne Dedmon"|"Taurean Waller-Prince"|"Omari Spellman"],["Derrick Collins"|"Kane Fitzgerald"|"Matt Myers"],Cleveland Cavaliers,111,108
9,20,22,3.1,36,82,38,30,7,14.6,9,14.7,40,Dec 29 2018,Los Angeles Clippers,6,23,27,6.5,44,87,31,28,8,19.5,10,13.0,49,["Chimezie Metu"|"Ben Moore"|"Dejounte Murray"|"Lonnie Walker"|"Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"],["Tyler Ford"|"Tre Maddox"|"Tom Washington"],San Antonio Spurs,111,122
7,26,24,4.5,36,76,29,24,8,21.6,11,15.3,36,Dec 29 2018,Memphis Grizzlies,16,36,29,8.0,40,80,18,16,7,20.0,10,16.2,36,["Aron Baynes"|"Jabari Bird"|"PJ Dozier"|"Robert Williams"|"Chandler Parsons"|"Ivan Rabb"|"D.J. Stephens"|"Yuta Watanabe"],["Nick Buchert"|"Scott Foster"|"Natalie Sago"],Boston Celtics,103,112
21,51,30,11.4,47,96,16,14,5,12.5,6,8.8,39,Dec 29 2018,Milwaukee Bucks,15,35,28,6.7,38,79,35,24,5,12.8,6,12.9,40,["Allen Crabbe"|"Caris LeVert"|"Dzanan Musa"|"Alan Williams"|"Trevon Duval"|"Ersan Ilyasova"|"Jaylen Morris"|"Christian Wood"],["Nate Green"|"Michael Smith"|"James Williams"],Brooklyn Nets,129,115
9,28,25,14.3,41,92,17,13,8,20.5,7,12.3,45,Dec 29 2018,New Orleans Pelicans,16,46,21,10.9,35,81,28,22,8,17.8,9,11.4,39,["Carmelo Anthony"|"Vince Edwards"|"James Ennis"|"Isaiah Hartenstein"|"Brandon Knight"|"Chris Paul"|"Cheick Diallo"|"Darius Miller"|"Nikola Mirotic"|"Elfrid Payton"],["Mark Lindsay"|"Scott Wall"|"Zach Zarba"],Houston Rockets,104,108
11,29,29,12.2,49,91,14,9,12,28.6,15,11.8,37,Dec 29 2018,Phoenix Suns,18,35,31,4.8,42,76,26,20,10,28.6,10,19.4,40,["Will Barton"|"Gary Harris"|"Michael Porter"|"Isaiah Thomas"|"Jarred Vanderbilt"|"Ryan Anderson"|"Jawun Evans"|"George King"],["Marc Davis"|"Kevin Scott"|"Leon Wood"],Denver Nuggets,118,122
9,31,18,7.3,39,91,22,18,11,22.9,6,11.4,46,Dec 29 2018,Portland Trail Blazers,12,25,27,6.7,40,80,28,23,5,12.5,9,11.5,42,["DeMarcus Cousins"|"Marcus Derrickson"|"Damian Jones"|"Damion Lee"|"Anfernee Simons"|"Gary Trent"],["Jacyn Goble"|"Gediminas Petraitis"|"Josh Tiven"],Golden State Warriors,105,115
16,36,30,11.1,51,93,14,11,15,35.7,8,14.6,60,Dec 29 2018,Utah Jazz,15,32,17,1.8,32,86,22,18,8,15.1,10,13.6,35,["Isaiah Hicks"|"Kristaps Porzingis"|"Mitchell Robinson"|"Grayson Allen"|"Tyler Cavanaugh"|"Jae Crowder"|"Ricky Rubio"],["Ray Acosta"|"Brent Barnaky"|"Rodney Mott"],New York Knicks,129,97
