Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Nov 10 2018,1,Chicago Bulls,1,99,8:00p,197,Cleveland Cavaliers,98
Nov 10 2018,1,Dallas Mavericks,15,111,9:00p,207,Oklahoma City Thunder,96
Nov 10 2018,1,Golden State Warriors,16,116,8:30p,216,Brooklyn Nets,100
Nov 10 2018,1,Los Angeles Clippers,2,128,3:30p,254,Milwaukee Bucks,126
Nov 10 2018,1,Memphis Grizzlies,6,112,8:00p,218,Philadelphia 76ers,106
Nov 10 2018,0,Miami Heat,-6,110,8:00p,226,Washington Wizards,116
Nov 10 2018,1,New Orleans Pelicans,20,119,7:00p,218,Phoenix Suns,99
Nov 10 2018,0,Sacramento Kings,-15,86,10:00p,187,Los Angeles Lakers,101
Nov 10 2018,1,San Antonio Spurs,7,96,8:30p,185,Houston Rockets,89
Nov 10 2018,1,Toronto Raptors,16,128,3:00p,240,New York Knicks,112
Nov 11 2018,0,Denver Nuggets,-7,114,8:00p,235,Milwaukee Bucks,121
Nov 11 2018,0,Detroit Pistons,-10,103,3:30p,216,Charlotte Hornets,113
Nov 11 2018,1,Houston Rockets,12,115,7:00p,218,Indiana Pacers,103
Nov 11 2018,1,Los Angeles Lakers,1,107,9:30p,213,Atlanta Hawks,106
Nov 11 2018,0,New York Knicks,-26,89,7:30p,204,Orlando Magic,115
Nov 11 2018,1,Portland Trail Blazers,6,100,9:00p,194,Boston Celtics,94
Nov 12 2018,0,Chicago Bulls,-5,98,8:00p,201,Dallas Mavericks,103
Nov 12 2018,1,Los Angeles Clippers,5,121,10:30p,237,Golden State Warriors,116
Nov 12 2018,0,Memphis Grizzlies,-8,88,8:00p,184,Utah Jazz,96
Nov 12 2018,0,Miami Heat,-10,114,7:30p,238,Philadelphia 76ers,124
Nov 12 2018,1,Minnesota Timberwolves,7,120,8:00p,233,Brooklyn Nets,113
Nov 12 2018,1,Oklahoma City Thunder,17,118,8:00p,219,Phoenix Suns,101
Nov 12 2018,1,Sacramento Kings,5,104,10:00p,203,San Antonio Spurs,99
Nov 12 2018,0,Toronto Raptors,-16,110,7:30p,236,New Orleans Pelicans,126
Nov 12 2018,1,Washington Wizards,8,117,7:00p,226,Orlando Magic,109
Nov 13 2018,1,Cleveland Cavaliers,24,113,7:00p,202,Charlotte Hornets,89
Nov 13 2018,0,Denver Nuggets,-10,99,9:00p,208,Houston Rockets,109
Nov 13 2018,1,Golden State Warriors,7,110,10:30p,213,Atlanta Hawks,103
Nov 14 2018,1,Boston Celtics,29,111,7:30p,193,Chicago Bulls,82
Nov 14 2018,0,Brooklyn Nets,-13,107,7:30p,227,Miami Heat,120
Nov 14 2018,1,Dallas Mavericks,50,118,8:30p,186,Utah Jazz,68
Nov 14 2018,1,Los Angeles Lakers,9,126,10:30p,243,Portland Trail Blazers,117
Nov 14 2018,0,Milwaukee Bucks,-3,113,8:00p,229,Memphis Grizzlies,116
Nov 14 2018,1,Minnesota Timberwolves,7,107,8:00p,207,New Orleans Pelicans,100
Nov 14 2018,1,Oklahoma City Thunder,25,128,8:00p,231,New York Knicks,103
Nov 14 2018,1,Orlando Magic,5,111,7:00p,217,Philadelphia 76ers,106
Nov 14 2018,1,Phoenix Suns,20,116,9:00p,212,San Antonio Spurs,96
Nov 14 2018,0,Toronto Raptors,-2,104,7:30p,210,Detroit Pistons,106
Nov 14 2018,1,Washington Wizards,24,119,7:00p,214,Cleveland Cavaliers,95
Nov 15 2018,1,Denver Nuggets,45,138,9:00p,231,Atlanta Hawks,93
Nov 15 2018,1,Houston Rockets,21,107,8:00p,193,Golden State Warriors,86
Nov 15 2018,1,Los Angeles Clippers,5,116,10:30p,227,San Antonio Spurs,111
Nov 16 2018,1,Boston Celtics,7,123,7:00p,239,Toronto Raptors,116
Nov 16 2018,1,Indiana Pacers,8,99,7:00p,190,Miami Heat,91
Nov 16 2018,1,Memphis Grizzlies,8,112,8:00p,216,Sacramento Kings,104
Nov 16 2018,1,Milwaukee Bucks,19,123,9:30p,227,Chicago Bulls,104
Nov 16 2018,1,Minnesota Timberwolves,16,112,8:00p,208,Portland Trail Blazers,96
Nov 16 2018,1,New Orleans Pelicans,5,129,8:00p,253,New York Knicks,124
Nov 16 2018,1,Philadelphia 76ers,6,113,7:00p,220,Utah Jazz,107
Nov 16 2018,0,Washington Wizards,-11,104,7:00p,219,Brooklyn Nets,115
Nov 17 2018,0,Boston Celtics,-12,86,7:30p,184,Utah Jazz,98
Nov 17 2018,0,Brooklyn Nets,-8,119,6:00p,246,Los Angeles Clippers,127
Nov 17 2018,0,Chicago Bulls,-39,83,8:00p,205,Toronto Raptors,122
Nov 17 2018,0,Charlotte Hornets,-3,119,7:00p,241,Philadelphia 76ers,122
Nov 17 2018,1,Dallas Mavericks,3,112,8:30p,221,Golden State Warriors,109
Nov 17 2018,1,Houston Rockets,20,132,8:00p,244,Sacramento Kings,112
Nov 17 2018,1,Indiana Pacers,8,97,7:00p,186,Atlanta Hawks,89
Nov 17 2018,1,New Orleans Pelicans,10,125,7:00p,240,Denver Nuggets,115
Nov 17 2018,1,Orlando Magic,13,130,7:00p,247,Los Angeles Lakers,117
Nov 17 2018,0,Phoenix Suns,-10,100,9:00p,210,Oklahoma City Thunder,110
Nov 18 2018,0,Miami Heat,-16,97,6:00p,210,Los Angeles Lakers,113
Nov 18 2018,0,Minnesota Timberwolves,-13,87,3:30p,187,Memphis Grizzlies,100
Nov 18 2018,1,Orlando Magic,14,131,6:00p,248,New York Knicks,117
Nov 18 2018,1,San Antonio Spurs,12,104,7:00p,196,Golden State Warriors,92
Nov 18 2018,0,Washington Wizards,-10,109,6:00p,228,Portland Trail Blazers,119
Nov 19 2018,0,Atlanta Hawks,-8,119,7:30p,246,Los Angeles Clippers,127
Nov 19 2018,1,Charlotte Hornets,5,117,7:00p,229,Boston Celtics,112
Nov 19 2018,1,Detroit Pistons,11,113,7:00p,215,Cleveland Cavaliers,102
Nov 19 2018,1,Indiana Pacers,27,121,7:00p,215,Utah Jazz,94
Nov 19 2018,1,Memphis Grizzlies,10,98,8:00p,186,Dallas Mavericks,88
Nov 19 2018,1,Milwaukee Bucks,6,104,8:00p,202,Denver Nuggets,98
Nov 19 2018,1,New Orleans Pelicans,14,140,8:00p,266,San Antonio Spurs,126
Nov 19 2018,1,Philadelphia 76ers,5,119,7:00p,233,Phoenix Suns,114
Nov 19 2018,1,Sacramento Kings,4,117,10:00p,230,Oklahoma City Thunder,113
Nov 20 2018,0,Miami Heat,-12,92,7:30p,196,Brooklyn Nets,104
Nov 20 2018,0,New York Knicks,-4,114,7:30p,232,Portland Trail Blazers,118
Nov 20 2018,0,Orlando Magic,-2,91,7:00p,184,Toronto Raptors,93
Nov 20 2018,1,Washington Wizards,7,125,7:00p,243,Los Angeles Clippers,118
Nov 21 2018,0,Atlanta Hawks,-16,108,7:30p,232,Toronto Raptors,124
Nov 21 2018,0,Boston Celtics,-8,109,7:30p,226,New York Knicks,117
Nov 21 2018,1,Chicago Bulls,8,124,8:00p,240,Phoenix Suns,116
Nov 21 2018,1,Charlotte Hornets,18,127,7:00p,236,Indiana Pacers,109
Nov 21 2018,0,Cleveland Cavaliers,-4,105,8:00p,214,Los Angeles Lakers,109
Nov 21 2018,1,Dallas Mavericks,6,119,8:30p,232,Brooklyn Nets,113
Nov 21 2018,0,Golden State Warriors,-28,95,10:30p,218,Oklahoma City Thunder,123
Nov 21 2018,1,Houston Rockets,2,126,8:00p,250,Detroit Pistons,124
Nov 21 2018,1,Milwaukee Bucks,43,143,8:00p,243,Portland Trail Blazers,100
Nov 21 2018,0,Minnesota Timberwolves,-2,101,8:00p,204,Denver Nuggets,103
Nov 21 2018,1,Philadelphia 76ers,1,121,7:00p,241,New Orleans Pelicans,120
Nov 21 2018,0,San Antonio Spurs,-1,103,8:30p,207,Memphis Grizzlies,104
Nov 21 2018,0,Utah Jazz,-9,110,9:00p,229,Sacramento Kings,119
Nov 23 2018,0,Atlanta Hawks,-18,96,7:30p,210,Boston Celtics,114
Nov 23 2018,0,Brooklyn Nets,-10,102,12:00p,214,Minnesota Timberwolves,112
Nov 23 2018,0,Chicago Bulls,-7,96,8:00p,199,Miami Heat,103
Nov 23 2018,1,Denver Nuggets,25,112,9:00p,199,Orlando Magic,87
Nov 23 2018,1,Detroit Pistons,5,116,7:00p,227,Houston Rockets,111
Nov 23 2018,1,Golden State Warriors,28,125,10:30p,222,Portland Trail Blazers,97
Nov 23 2018,0,Indiana Pacers,-11,100,8:00p,211,San Antonio Spurs,111
Nov 23 2018,1,Los Angeles Clippers,5,112,3:30p,219,Memphis Grizzlies,107
Nov 23 2018,1,Los Angeles Lakers,7,90,10:30p,173,Utah Jazz,83
Nov 23 2018,0,Milwaukee Bucks,-2,114,8:30p,230,Phoenix Suns,116
Nov 23 2018,1,New York Knicks,5,114,7:30p,223,New Orleans Pelicans,109
Nov 23 2018,1,Oklahoma City Thunder,5,109,8:00p,213,Charlotte Hornets,104
Nov 23 2018,0,Philadelphia 76ers,-9,112,7:30p,233,Cleveland Cavaliers,121
Nov 23 2018,1,Toronto Raptors,18,125,7:30p,232,Washington Wizards,107
Nov 24 2018,1,Cleveland Cavaliers,9,117,7:30p,225,Houston Rockets,108
Nov 24 2018,1,Dallas Mavericks,9,113,8:30p,217,Boston Celtics,104
Nov 24 2018,1,Golden State Warriors,1,117,8:30p,233,Sacramento Kings,116
Nov 24 2018,1,Milwaukee Bucks,6,135,8:30p,264,San Antonio Spurs,129
Nov 24 2018,1,Minnesota Timberwolves,15,111,8:00p,207,Chicago Bulls,96
Nov 24 2018,0,Oklahoma City Thunder,-7,98,8:00p,203,Denver Nuggets,105
Nov 24 2018,1,Washington Wizards,10,124,8:00p,238,New Orleans Pelicans,114
Nov 25 2018,1,Atlanta Hawks,1,124,6:00p,247,Charlotte Hornets,123
Nov 25 2018,0,Brooklyn Nets,-2,125,6:00p,252,Philadelphia 76ers,127
Nov 25 2018,1,Detroit Pistons,11,118,4:00p,225,Phoenix Suns,107
Nov 25 2018,0,Los Angeles Lakers,-4,104,3:30p,212,Orlando Magic,108
Nov 25 2018,0,Memphis Grizzlies,-5,98,6:00p,201,New York Knicks,103
Nov 25 2018,0,Portland Trail Blazers,-4,100,9:00p,204,Los Angeles Clippers,104
Nov 25 2018,0,Sacramento Kings,-21,112,8:00p,245,Utah Jazz,133
Nov 25 2018,1,Toronto Raptors,10,125,6:00p,240,Miami Heat,115
Nov 26 2018,0,Chicago Bulls,-1,107,8:00p,215,San Antonio Spurs,108
Nov 26 2018,1,Charlotte Hornets,3,110,7:00p,217,Milwaukee Bucks,107
Nov 26 2018,0,Cleveland Cavaliers,-7,95,7:00p,197,Minnesota Timberwolves,102
Nov 26 2018,1,Golden State Warriors,6,116,10:30p,226,Orlando Magic,110
Nov 26 2018,0,New Orleans Pelicans,-17,107,8:00p,231,Boston Celtics,124
Nov 26 2018,0,Utah Jazz,-33,88,9:00p,209,Indiana Pacers,121
Nov 26 2018,1,Washington Wizards,4,135,7:00p,266,Houston Rockets,131
Nov 27 2018,1,Denver Nuggets,32,117,9:00p,202,Los Angeles Lakers,85
Nov 27 2018,1,Detroit Pistons,7,115,7:00p,223,New York Knicks,108
Nov 27 2018,0,Memphis Grizzlies,-8,114,8:00p,236,Toronto Raptors,122
Nov 27 2018,0,Miami Heat,-2,113,7:30p,228,Atlanta Hawks,115
Nov 27 2018,0,Phoenix Suns,-5,104,9:00p,213,Indiana Pacers,109
Nov 28 2018,0,Brooklyn Nets,-10,91,7:30p,192,Utah Jazz,101
Nov 28 2018,1,Charlotte Hornets,14,108,7:00p,202,Atlanta Hawks,94
Nov 28 2018,0,Houston Rockets,-20,108,8:00p,236,Dallas Mavericks,128
Nov 28 2018,1,Los Angeles Clippers,16,115,10:30p,214,Phoenix Suns,99
Nov 28 2018,1,Milwaukee Bucks,3,116,8:00p,229,Chicago Bulls,113
Nov 28 2018,1,Minnesota Timberwolves,39,128,8:00p,217,San Antonio Spurs,89
Nov 28 2018,1,New Orleans Pelicans,21,125,8:00p,229,Washington Wizards,104
