age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
26,$17224,Jarell Eddie,,Chicago Bulls,$17224,,None,,None,,None,,None,,None
33,$33285709,LeBron James,Early Bird,Cleveland Cavaliers,$33285709,$35607968,Player,,None,,None,,None,,None
29,$46761375,Kevin Love,Bird Rights,Cleveland Cavaliers,$22642350,$24119025,None,$25595700,Player,,None,,None,,None
31,$40000000,George Hill,Cap space,Cleveland Cavaliers,$20000000,$19000000,None,$18000000,None,,None,,None,,None
26,$52408695,Tristan Thompson,Bird Rights,Cleveland Cavaliers,$16400000,$17469565,None,$18539130,None,,None,,None,,None
32,$32350000,J.R. Smith,Bird Rights,Cleveland Cavaliers,$13760000,$14720000,None,$15680000,None,,None,,None,,None
25,$37500000,Jordan Clarkson,Cap Space,Cleveland Cavaliers,$11562500,$12500000,None,$13437500,None,,None,,None,,None
36,$18000000,Kyle Korver,Bird Rights,Cleveland Cavaliers,$7000000,$7560000,None,$7500000,None,,None,,None,,None
22,$8325000,Cedi Osman,MLE,Cleveland Cavaliers,$2642857,$2775000,None,$2907143,None,,None,,None,,None
25,$2386864,Rodney Hood,1st Round Pick,Cleveland Cavaliers,$2386864,,None,,None,,None,,None,,None
36,$2328652,Jose Calderon,Minimum Salary,Cleveland Cavaliers,$2328652,,None,,None,,None,,None,,None
31,$2116955,Jeff Green,Minimum Salary,Cleveland Cavaliers,$2116955,,None,,None,,None,,None,,None
21,$3597960,Ante Zizic,1st Round Pick,Cleveland Cavaliers,$1645200,$1952760,None,$2281800,Team,$3872215,Team,,None,,None
25,$3743773,Larry Nance,1st Round pick,Cleveland Cavaliers,$1471382,$2272391,None,,None,,None,,None,,None
23,$74718,London Perrantes,Two-Way Contract,Cleveland Cavaliers,TBD,,None,,None,,None,,None,,None
29,$50000,John Holland,Two-Way Contract,Cleveland Cavaliers,TBD,,None,,None,,None,,None,,None
25,,Marcus Thornton,,Cleveland Cavaliers,$46080,,None,,None,,None,,None,,None
25,$47219262,Harrison Barnes,Cap Space,Dallas Mavericks,$23112004,$24107258,None,$25102512,Player,,None,,None,,None
31,$17884176,Wesley Matthews,Cap Space,Dallas Mavericks,$17884176,$18622514,Player,,None,,None,,None,,None
