3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.236,24.2,0.3,-4.6,-2.2,8.5,0.6,.449,Ramon Sessions,-2.4,1.5,0.3,12.4,1.7,12.7,4.9,.495,20.1,-0.5,0.9,.055
.000,4.5,5.8,-1.1,1.8,16.0,0.8,.521,Roy Hibbert,-2.9,8.6,1.0,13.5,0.6,14.9,12.3,.613,14.0,0.1,1.8,.129
.252,16.1,3.6,-0.6,1.2,20.1,0.8,.156,Spencer Hawes,-1.8,5.6,0.3,14.8,1.0,14.7,12.8,.545,19.6,0.2,1.1,.086
.361,18.7,0.2,-5.9,-2.6,9.0,0.3,.320,Brian Roberts,-3.3,1.3,0.0,9.8,1.1,15.7,5.2,.510,17.9,-0.4,0.2,.028
.375,4.7,0.5,-2.8,-1.3,10.0,0.2,.375,Treveon Graham,-1.5,2.9,0.3,10.6,1.6,6.0,6.4,.612,11.8,0.0,0.4,.108
.000,2.5,2.0,-2.5,1.3,17.2,0.2,.167,Miles Plumlee,-3.9,9.4,0.1,9.0,2.0,23.7,13.3,.602,8.7,0.0,0.3,.087
.152,15.4,0.0,-2.3,-0.2,9.7,0.2,.283,Briante Weber,-2.1,5.5,0.1,12.5,2.8,8.8,7.6,.483,16.1,0.0,0.3,.081
.217,2.8,4.9,-2.0,0.6,15.5,0.1,.652,Christian Wood,-2.5,14.3,0.1,15.1,1.4,19.1,14.9,.591,15.4,0.0,0.3,.125
.200,21.6,0.0,-2.3,-3.1,13.0,0.0,.133,Johnny O'Bryant,0.7,12.9,0.0,15.5,0.0,15.9,12.9,.567,25.0,0.0,0.1,.078
.000,5.4,0.0,-8.9,-1.5,4.4,0.0,.000,Mike Tobey,-7.4,8.7,0.0,-0.1,0.0,20.0,6.6,.250,9.0,0.0,0.0,-0.070
.500,22.6,0.0,-11.6,-2.1,19.5,0.0,.500,Aaron Harrison,-9.6,0.0,-0.1,-2.2,0.0,0.0,9.7,.102,12.9,0.0,-0.1,-0.146
.198,24.8,0.9,6.9,1.1,13.2,3.8,.540,Jimmy Butler,5.8,4.9,10.1,25.1,2.6,9.3,9.0,.586,26.5,6.3,13.8,.236
.003,5.6,4.1,-0.9,1.0,13.2,2.4,.134,Robin Lopez,-1.9,11.5,1.8,14.4,0.4,10.0,12.3,.511,17.5,0.6,4.3,.090
.237,37.0,0.5,0.3,1.6,16.6,2.7,.089,Rajon Rondo,-1.3,4.2,-0.4,13.6,2.7,22.5,10.4,.461,17.8,1.1,2.3,.060
